@relation AllApplicationsOverSSHLabeldTraffic

@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute proto numeric
@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute class numeric

@data
40,40,50,1,40,237,1300,377,430,159137,686198,119851,76,179508,833126,192387,205862116,6,132,5407,111,26351,0
40,40,50,1,40,453,1300,490,430,160943,686198,109513,11,137045,833126,177043,731595165,6,204,8287,198,89854,0
40,40,50,1,40,320,1300,433,399,279867,1005807,324859,13,301552,1009835,356143,115240787,6,136,5562,123,39375,0
40,41,55,1,40,50,702,57,410,166511,1106454,175407,143,214156,1200812,232860,42136782,6,181,7425,141,7131,0
40,40,50,1,40,271,1300,400,398,273913,1005877,308310,14,326162,1151675,350507,411858868,6,557,22613,462,125283,0
40,41,55,2,40,250,1300,387,407,269136,1005897,304613,119,297678,1102206,349884,81230149,6,110,4515,97,24251,0
40,41,55,2,40,90,1300,217,400,135664,750307,118959,144,166890,951740,172969,24561952,6,94,3880,74,6693,0
40,41,50,1,40,99,1300,197,282,186349,1137031,182421,152,285154,1151447,265339,129023773,6,483,19903,313,31269,0
40,40,50,1,40,228,1300,377,401,213973,1005806,238740,214,234349,1006980,301799,88274257,6,151,6182,133,30424,0
40,40,55,1,40,158,1300,310,399,238682,1005809,281869,8,271475,1208875,325412,78560888,6,169,6919,148,23443,0
40,43,50,2,40,142,1247,155,26350,152434,800256,140763,55,153797,881691,177094,27525061,6,97,4171,94,13438,0
40,40,55,1,40,333,1300,432,400,332421,1005811,370088,111,355030,1007353,398411,141335633,6,151,6160,138,46022,0
40,40,55,2,40,304,1300,419,403,330983,1005878,360501,107,340170,1167438,392333,106567074,6,117,4788,112,34107,0
40,41,50,2,40,162,1300,321,384,185189,1005806,213860,7,222848,1008494,264240,41551926,6,97,3995,80,12985,0
40,42,50,2,40,238,1300,286,11357,140638,800256,123482,8,145072,993707,173343,302949071,6,334,14220,312,74475,0
40,40,50,1,40,332,1300,432,424,366548,1106391,380579,12,380350,1012599,407204,174799193,6,185,7524,174,57800,0
40,40,50,1,40,356,1300,446,399,305929,1106375,340318,13,319324,1026013,368065,145515452,6,151,6162,140,49846,0
40,40,50,1,40,136,1300,288,405,157187,782498,136694,21,203221,952152,214740,139062628,6,183,7494,138,18833,0
40,40,50,1,40,305,1300,405,410,303485,1106375,337457,13,340768,1106704,376179,182639599,6,196,7983,172,52621,0
40,40,50,1,40,240,1300,376,384,146708,1106389,129222,132,161426,1147916,184570,423876898,6,268,10945,230,55367,0
40,40,50,1,40,276,1300,397,236,299692,1005879,331561,14,324380,1006413,362844,233244249,6,236,9609,214,59127,0
40,40,50,1,40,206,1300,343,410,229881,1005811,252046,63,302975,1116266,308092,234977077,6,417,16962,314,64715,0
40,40,50,1,40,385,1300,471,405,159111,782498,126958,14,159040,952152,200149,745058728,6,267,10854,239,92076,0
40,42,50,2,40,312,1300,369,638,142681,800256,119751,8,133473,993707,166846,729912299,6,416,17500,408,127700,0
40,41,50,1,40,98,1300,228,405,163279,1005802,177803,144,192135,1159783,225813,36828423,6,128,5267,106,10405,0
40,46,50,3,40,49,113,19,401,15359,47311,20613,214,14848,43746,19468,7680116,6,11,506,14,687,0
40,41,50,1,40,134,1300,263,400,179312,1005805,234422,164,216753,1160255,285231,55448714,6,148,6099,121,16222,0
40,40,55,2,40,286,1300,407,403,319347,1005878,357332,107,333173,1167438,387855,92618617,6,110,4508,103,29515,0
40,42,55,3,40,46,113,15,407,145106,867964,167195,144,143194,871155,203182,13439052,6,45,1892,43,1979,0
40,40,55,1,40,382,1300,441,397,331316,1005878,362382,108,329947,1007328,389462,161124385,6,149,6074,144,55026,0
40,40,50,1,40,276,1300,419,405,157415,782498,132727,21,181690,952152,209580,389406892,6,216,8814,178,49219,0
40,41,50,1,40,90,1300,172,401,170759,903809,171391,214,211692,996062,240002,59910620,6,127,5222,101,9154,0
40,40,50,1,40,192,1300,346,374,188426,911521,162654,59,204372,1112968,220354,193692344,6,148,6062,126,24259,0
40,41,50,2,40,276,1300,363,426,150333,971030,136413,8,157564,1173453,195515,937794090,6,558,23265,505,139585,0
40,41,55,2,40,295,1300,417,417,289199,1005872,327109,7,300774,1006292,354873,93003033,6,105,4308,98,28975,0
40,40,50,1,40,391,1300,470,430,160526,686198,113293,11,150734,833126,183127,511223784,6,174,7087,162,63396,0
40,42,50,2,40,316,1300,374,638,142856,800256,119434,8,132849,993707,166439,760186956,6,422,17740,415,131395,0
40,40,50,1,40,337,1300,436,405,308714,1005811,341194,75,328971,1006740,378596,175695773,6,184,7496,167,56347,0
40,42,50,2,40,287,1300,344,638,141548,800256,121526,8,137793,993707,170136,563351393,6,382,16140,368,105783,0
40,40,50,1,40,317,1300,413,410,313507,1106375,343976,13,347695,1106704,382667,197827223,6,203,8263,180,57163,0
40,40,50,1,40,226,1300,370,398,246783,1005877,281160,14,303806,1151675,327145,312183824,6,513,20853,412,93194,0
40,40,50,1,40,218,1300,360,384,146013,1106389,130438,132,164772,1147916,186739,357795600,6,257,10505,217,47496,0
40,40,50,1,40,385,1300,471,405,159111,782498,126958,14,159040,952152,200149,745058728,6,267,10854,239,92076,0
40,40,50,1,40,453,1300,490,430,160943,686198,109513,11,137045,833126,177043,731595165,6,204,8287,198,89854,0
40,41,50,1,40,168,1300,305,282,198909,1137031,228115,133,272345,1184873,299450,343762622,6,909,37534,655,110114,0
40,40,50,1,40,369,1300,462,405,159239,782498,127843,14,162897,952152,201640,679782135,6,258,10494,228,84173,0
40,41,50,2,40,56,705,82,396,151568,804645,136184,225,186643,860192,201305,21824457,6,81,3353,65,3642,0
40,40,50,1,40,288,1300,419,430,158795,686198,118910,11,172111,833126,191719,275865970,6,140,5727,121,34863,0
40,40,50,1,40,317,1300,413,410,313507,1106375,343976,13,347695,1106704,382667,197827223,6,203,8263,180,57163,0
40,40,50,1,40,190,1300,338,401,204642,1005806,213700,214,245749,1006980,285010,571964732,6,217,8866,175,33376,0
40,40,50,1,40,289,1300,416,417,289128,1106391,320362,13,328080,1063820,361909,224007718,6,253,10295,220,63722,0
40,40,50,1,40,339,1300,451,405,158504,782498,129413,14,169205,952152,204147,574675742,6,243,9894,210,71275,0
40,41,55,2,40,55,709,82,407,171732,900794,169445,144,212250,1102206,240854,21083154,6,83,3435,66,3648,0
40,41,50,1,40,80,1300,190,391,163136,1005807,159171,140,199354,1055805,204469,42761046,6,158,6489,127,10260,0
40,40,50,1,40,300,1300,412,425,288324,1106409,320366,130,330984,1149592,364814,199736932,6,237,9645,202,60794,0
40,40,50,1,40,300,1300,412,425,288324,1106409,320366,130,330984,1149592,364814,199736932,6,237,9645,202,60794,0
40,40,50,1,40,300,1300,412,425,288324,1106409,320366,130,330984,1149592,364814,199736932,6,237,9645,202,60794,0
40,40,50,1,40,271,1300,406,398,301612,1005877,335359,14,338730,1151675,374476,222731157,6,270,10988,237,64372,0
40,40,50,1,40,299,1300,415,417,305677,1106391,332063,13,345224,1063820,373018,176519018,6,201,8187,178,53330,0
40,41,50,2,40,49,192,27,374,181608,905222,167432,59,179228,931445,192740,38698197,6,66,2745,61,2997,0
40,41,55,1,40,227,1300,363,397,121624,1005806,192709,12,134776,1006231,226359,59780516,6,328,13501,293,66782,0
40,40,50,1,40,317,1300,420,410,346629,1005870,381186,107,346227,1006445,402228,171478382,6,189,7695,183,58063,0
40,41,55,2,40,192,1300,355,400,189675,1005811,239781,111,221486,1006268,279159,54563171,6,105,4320,88,16973,0
40,41,50,2,40,162,1300,322,349,158667,897442,144398,21,183717,1098891,215289,109763682,6,94,3875,76,12385,0
40,40,50,1,40,317,1300,413,410,313507,1106375,343976,13,347695,1106704,382667,197827223,6,203,8263,180,57163,0
40,40,55,1,40,357,1300,443,403,385117,1005879,386093,107,381260,1167438,414114,145926156,6,142,5788,139,49631,0
40,40,55,2,40,282,1300,394,406,272993,1005809,314551,109,304727,1071745,355858,96703788,6,121,4956,106,29934,0
40,40,50,1,40,385,1300,471,405,159111,782498,126958,14,159040,952152,200149,745058728,6,267,10854,239,92076,0
40,41,50,1,40,119,1300,253,236,193811,1005812,212056,62,232964,1005790,256110,56344490,6,157,6439,129,15439,0
40,41,50,1,40,179,1300,317,430,158770,686198,121851,76,188166,833126,195005,135657091,6,122,5007,99,17799,0
40,40,50,1,40,247,1300,384,405,311068,1005945,347679,109,333550,1159783,379398,127048919,6,190,7747,174,43099,0
40,40,50,1,40,236,1300,380,410,256609,1005869,322506,107,269793,1006399,345755,89103148,6,144,5895,133,31477,0
40,40,50,1,40,204,1300,348,398,271734,1005817,315744,14,306287,1048298,354613,89096805,6,156,6382,136,27860,0
40,40,50,1,40,227,1300,364,417,250653,1106391,281041,13,297289,1063820,330692,116365859,6,170,6947,142,32339,0
40,40,50,1,40,158,1300,296,384,144649,1106389,132796,132,171879,1147916,190676,216279541,6,236,9665,192,30359,0
40,40,55,1,40,382,1300,452,407,361527,1005897,369782,113,365188,1102206,404651,171752389,6,151,6155,144,55047,0
40,40,50,1,40,279,1300,412,419,259644,1005809,300395,20,290880,1039680,338355,141819533,6,195,7957,171,47739,0
40,40,50,1,40,262,1300,404,419,250473,1005809,293929,20,284065,1039680,331281,126833073,6,187,7637,162,42515,0
40,40,50,1,40,336,1300,435,424,363450,1106391,379299,12,377448,1012599,406327,166551617,6,182,7404,171,57498,0
40,42,50,2,40,316,1300,374,638,142856,800256,119434,8,132849,993707,166439,760186956,6,422,17740,415,131395,0
40,40,50,1,40,212,1300,371,374,188358,911521,162782,59,204080,1112968,222059,224174137,6,153,6262,131,27839,0
40,42,50,2,40,46,113,16,396,116458,468013,108366,225,116624,708857,157193,13074046,6,38,1607,37,1702,0
40,41,50,2,40,157,1300,320,349,158143,897442,145219,21,184773,1098891,216851,104634091,6,92,3795,74,11618,0
40,41,50,1,40,69,1238,139,374,188919,911521,169382,59,225899,1112968,227532,53584042,6,126,5182,100,6995,0
40,41,50,1,40,116,1300,254,410,156293,1005805,190452,144,175659,1005817,220349,38712426,6,112,4615,97,11268,0
40,40,55,1,40,361,1300,434,397,318775,1005878,358428,108,324041,1007328,385382,173958539,6,162,6600,154,55628,0
40,40,50,1,40,94,1300,193,410,178382,1005806,165644,63,255699,1116266,234533,106234344,6,359,14642,248,23383,0
40,42,50,2,40,176,1300,168,11357,139929,800256,125149,8,151639,993707,175862,92690648,6,306,13100,277,48787,0
40,40,50,1,40,453,1300,490,430,160943,686198,109513,11,137045,833126,177043,731595165,6,204,8287,198,89854,0
40,40,50,1,40,217,1300,360,384,145768,1106389,130677,132,165079,1147916,187199,352566068,6,255,10425,215,46729,0
40,42,50,2,40,316,1300,374,638,142856,800256,119434,8,132849,993707,166439,760186956,6,422,17740,415,131395,0
40,41,50,2,40,116,1300,250,349,158041,897442,146133,21,190826,1098891,217759,74560589,6,89,3675,70,8135,0
40,42,50,2,40,255,1300,304,11357,141161,800256,122799,8,143205,993707,172365,373053522,6,346,14700,326,83234,0
40,41,50,1,40,52,327,31,72,165839,820682,143323,182,234398,1022157,213766,61357481,6,205,8414,147,7678,0
40,40,50,1,40,265,1300,397,398,268518,1005877,303042,14,321503,1151675,346130,388524248,6,548,22253,452,119784,0
40,40,50,1,40,420,1300,478,430,160450,686198,112117,11,145899,833126,181267,591285697,6,185,7527,175,73540,0
40,40,50,1,40,310,1300,428,398,333336,1005877,361752,14,349726,1048298,392416,212810887,6,217,8834,202,62775,0
40,41,50,1,40,156,1300,291,282,191354,1137031,215900,133,264734,1184873,289931,305340964,6,891,36814,635,99411,0
40,40,50,1,40,332,1300,432,424,366548,1106391,380579,12,380350,1012599,407204,174799193,6,185,7524,174,57800,0
40,40,50,1,40,227,1300,368,384,146424,1106389,129938,132,163155,1147916,186005,383544215,6,260,10625,221,50211,0
40,40,50,1,40,308,1300,421,417,320702,1106391,340774,13,353744,1063820,378873,191901644,6,211,8587,188,58066,0
40,40,50,1,40,206,1300,343,410,229881,1005811,252046,63,302975,1116266,308092,234977077,6,417,16962,314,64715,0
40,40,50,1,40,453,1300,490,430,160943,686198,109513,11,137045,833126,177043,731595165,6,204,8287,198,89854,0
40,42,50,2,40,174,1300,166,11357,139929,800256,125149,8,151639,993707,175862,87417634,6,304,13020,276,48082,0
40,40,55,2,40,354,1300,442,407,332176,1005897,353977,113,344073,1102206,391240,133431306,6,134,5475,125,44251,0
40,40,50,1,40,239,1300,375,391,247645,1005807,286040,111,276475,1055805,321172,141229129,6,202,8249,177,42315,0
40,41,50,2,40,57,705,87,456,149109,804639,135274,209,184110,838108,200095,17433099,6,73,3028,59,3387,0
40,40,50,1,40,379,1300,463,430,160278,686198,113703,11,153355,833126,183626,481150284,6,171,6967,158,60016,0
40,42,50,2,40,254,1300,304,11357,141161,800256,122799,8,143205,993707,172365,378082530,6,347,14740,327,83325,0
40,40,55,1,40,277,1300,400,399,344374,1005881,365589,8,360787,1208875,397424,184069520,6,230,9359,216,59985,0
40,42,55,3,40,44,113,12,399,125814,657922,142217,65,114084,898600,174626,10669140,6,32,1364,34,1506,0
40,40,50,1,40,317,1300,413,410,313507,1106375,343976,13,347695,1106704,382667,197827223,6,203,8263,180,57163,0
40,40,50,1,40,228,1300,377,401,213973,1005806,238740,214,234349,1006980,301799,88274257,6,151,6182,133,30424,0
40,40,50,1,40,230,1300,368,384,146663,1106389,129703,132,162971,1147916,185529,408488051,6,264,10785,225,51850,0
40,40,50,1,40,327,1300,446,405,158488,782498,130037,14,171558,952152,205217,529615793,6,236,9614,202,66175,0
40,40,50,1,40,206,1300,343,410,229881,1005811,252046,63,302975,1116266,308092,234977077,6,417,16962,314,64715,0
40,40,55,1,40,343,1300,450,409,344099,1005823,380518,8,355357,1006443,404622,196668972,6,196,7975,186,63862,0
40,40,50,1,40,362,1300,442,384,366644,1005880,379166,7,380172,1008494,407751,162248240,6,160,6515,151,54673,0
40,40,50,1,40,300,1300,412,425,288324,1106409,320366,130,330984,1149592,364814,199736932,6,237,9645,202,60794,0
40,41,50,1,40,151,1300,282,282,189491,1137031,212593,133,263108,1184873,287257,298501505,6,887,36654,630,95225,0
40,40,50,1,40,309,1300,415,384,311014,1005878,342756,7,334733,1008494,376454,123826574,6,139,5675,127,39281,0
40,40,50,1,40,268,1300,390,236,295335,1005879,323717,14,321567,1006413,356686,159741004,6,212,8639,191,51232,0
40,42,50,3,40,45,113,13,336,122510,734587,160161,61,124084,975099,205370,10578773,6,28,1199,28,1264,0
40,40,50,1,40,359,1300,444,399,316375,1106375,348325,13,330373,1026013,375096,154467096,6,154,6282,143,51459,0
40,40,50,1,40,337,1300,436,405,308714,1005811,341194,75,328971,1006740,378596,175695773,6,184,7496,167,56347,0
40,40,50,1,40,295,1300,422,419,270215,1005809,310220,20,298935,1039680,346795,157007156,6,202,8237,179,52927,0
40,41,50,1,40,79,1114,143,384,144326,1106389,134719,280,182867,1147916,193384,75869112,6,216,8865,167,13222,0
40,41,55,2,40,121,1300,254,397,173027,1005801,207438,144,205217,1005642,248827,33789782,6,88,3634,73,8836,0
40,40,50,1,40,239,1300,369,236,283177,1005879,314656,14,315077,1006413,348067,138719735,6,201,8199,178,42590,0
40,40,50,1,40,300,1300,412,425,288324,1106409,320366,130,330984,1149592,364814,199736932,6,237,9645,202,60794,0
40,40,50,1,40,206,1300,343,410,229881,1005811,252046,63,302975,1116266,308092,234977077,6,417,16962,314,64715,0
40,40,50,1,40,206,1300,343,410,229881,1005811,252046,63,302975,1116266,308092,234977077,6,417,16962,314,64715,0
40,41,50,1,40,168,1300,305,282,198909,1137031,228115,133,272345,1184873,299450,343762622,6,909,37534,655,110114,0
40,40,50,1,40,317,1300,413,410,313507,1106375,343976,13,347695,1106704,382667,197827223,6,203,8263,180,57163,0
40,40,50,1,40,385,1300,471,405,159111,782498,126958,14,159040,952152,200149,745058728,6,267,10854,239,92076,0
40,42,50,2,40,246,1300,296,11357,140971,800256,123150,8,144204,993707,172859,332921987,6,338,14380,317,78047,0
40,40,55,1,40,85,1300,182,410,182208,1106454,205835,143,232998,1200812,260330,60341774,6,207,8473,161,13688,0
40,40,55,2,40,346,1300,443,417,325729,1005877,353102,7,328955,1006810,378555,123076537,6,118,4828,113,39185,0
40,40,50,1,40,302,1300,430,405,158088,782498,131034,21,176540,952152,206649,459511332,6,227,9254,191,57737,0
40,40,50,1,40,356,1300,439,384,370027,1005880,380556,7,383384,1008494,408631,170294659,6,163,6635,154,54975,0
40,41,50,2,40,175,1300,322,456,250688,1005810,299368,112,285204,1006277,337460,47506596,6,93,3828,81,14197,0
40,42,50,2,40,316,1300,374,638,142856,800256,119434,8,132849,993707,166439,760186956,6,422,17740,415,131395,0
40,41,55,2,40,252,1300,387,403,286618,1005878,335586,107,304681,1167438,369324,76626429,6,101,4148,93,23501,0
40,41,50,1,40,94,1300,190,323,192302,1137031,194269,152,277075,1142160,275676,89294574,6,296,12193,203,19092,0
40,40,50,1,40,291,1300,405,400,301689,1005879,356016,111,328753,1160255,389414,161862561,6,203,8299,183,53366,0
40,40,50,1,40,379,1300,467,405,159171,782498,127517,14,160950,952152,201193,709855632,6,262,10654,233,88473,0
40,40,50,1,40,385,1300,471,405,159111,782498,126958,14,159040,952152,200149,745058728,6,267,10854,239,92076,0
40,40,50,1,40,317,1300,420,410,346629,1005870,381186,107,346227,1006445,402228,171478382,6,189,7695,183,58063,0
40,41,55,2,40,100,1300,218,411,157222,882189,162234,146,180334,842338,217658,25991028,6,68,2823,58,5819,0
40,40,50,1,40,243,1300,391,419,238872,1005809,283801,20,275882,1039680,321422,111645455,6,179,7317,153,37291,0
40,40,55,1,40,309,1300,430,409,316317,1005823,365588,107,332981,1006443,391609,135817887,6,147,6003,137,42426,0
